doc_ref_num,doc_short_name,doc_type,doc_year,aliases,themes,reference_entry
29,Right to Repair Directive,Directive,2024,Right to Repair Directive | Right to Repair,repairability | repairs | spare parts | service access | lifetime extension,"[29] (2024). European Union, Directive (EU) 2024/1799 of the European Parliament and of the Council of 13 June 2024 on Common Rules Promoting the Repair of Goods and Amending Regulation (EU) 2017/2394 and Directives (EU) 2019/771 and (EU) 2020/1828. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2024/1799/oj/eng"
30,Waste Framework Directive / EPR context,Directive,2008,Directive 2008/98/EC | Waste Framework Directive | EPR | Extended Producer Responsibility,waste hierarchy | waste management | extended producer responsibility | collection | recycling | producer accountability,"[30] (2018). European Union, Directive 2008/98/EC of the European Parliament and of the Council of 19 November 2008 on Waste and Repealing Certain Directives. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2008/98/2018-07-05/eng"
31,RoHS Directive,Directive,2011,RoHS | ROHS | Restriction of Hazardous Substances | Directive 2011/65/EU,hazardous substances | substances of concern | toxicity | materials restrictions | electronics compliance,"[31] (2011). European Union, Directive 2011/65/EU of the European Parliament on the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (ROHS). Accessed: Jan. 17, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2011/65/2016-0715/eng"
32,Battery Regulation,Regulation,2023,Batteries Regulation | New Batteries Regulation | waste batteries | Regulation (EU) 2023/1542,batteries | sustainability standards | battery recycling | waste batteries,"[32] (2023). European Union, Regulation (EU) 2023/1542 of the European Parliament and of the Council of 12 July 2023 Concerning Batteries and Waste Batteries, Amending Directive 2008/98/EC and Regulation (EU) 2019/1020 and Repealing Directive 2006/66/EC. Accessed: Jan. 17, 2025. [Online]. Available: https://eurlex.europa.eu/eli/reg/2023/1542/oj/eng"
33,Conflict Minerals Regulation,Regulation,2017,"Conflict Minerals Regulation | 3TG | tin, tantalum, tungsten, and gold",supply chain due diligence | 3TG | responsible sourcing | human rights | minerals,"[33] (2017). European Union, Regulation (EU) 2017/821 of the European Parliament and of the Council of 17 May 2017 Laying Down Supply Chain Due Diligence Obligations for Union Importers of Tin, Tantalum and Tungsten, Their Ores, and Gold Originating From Conflict-Affected and High-Risk Areas. Accessed: Jan. 17, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2017/821/oj/eng"
34,SSbD Framework Recommendation,Commission recommendation,2022,SSbD | safe and sustainable by design | Commission Recommendation (EU) 2022/2510,safe and sustainable by design | materials and chemicals | ecodesign of materials | safety | sustainability assessment,"[34] (2022). European Union, Commission Recommendation (EU) 2022/2510 of 8 December 2022 Establishing a European Assessment Framework for ’Safe and Sustainable by Design’ Chemicals and Materials. Accessed: May 5, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A32022H2510&qid=1746439522087"
35,SRIP for Safe and Sustainable Chemicals and Materials,EU strategy/plan,2022,Strategic Research and Innovation Plan | SRIP | safe and sustainable chemicals and materials,research and innovation agenda | chemicals and materials | safe and sustainable,"[35] (2022). European Union, Strategic Research and Innovation Plan for Safe and Sustainable Chemicals and Materials. Accessed: Jan. 17, 2025. [Online]. Available: https://data.europa.eu/doi/10.2777/876851"
36,CSRD,Directive,2022,CSRD | Corporate Sustainability Reporting Directive,sustainability reporting | environmental reporting | company disclosures,"[36] (2022). European Union, Directive (EU) 2022/2464 of the European Parliament and of the Council of 14 December 2022 Amending Regulation (EU), no. 537/2014, Directive 2004/109/EC, Directive 2006/43/EC and Directive 2013/34/EU, as Regards Corporate Sustainability Reporting. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2022/2464/oj/eng VOLUME 13, 2025"
37,EU Taxonomy for Sustainable Activities,Regulation,2020,EU Taxonomy | Taxonomy for Sustainable Activities | Regulation (EU) 2020/852 | green taxonomy,sustainable activities | taxonomy | environmental metrics | GHG emissions | resource depletion | pollution,"[37] (2020). Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the Establishment of a Framework to Facilitate Sustainable Investment, and Amending Regulation (EU) 2019/2088. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2020/852/oj/eng"
38,CSDDD,Directive,2024,CSDDD | Corporate Sustainability Due Diligence | Directive (EU) 2024/1760,due diligence | value chains | human rights | environmental impacts | supply chains,"[38] (2024). European Union, Directive (EU) 2024/1760 of the European Parliament and of the Council of 13 June 2024 on Corporate Sustainability Due Diligence and Amending Directive (EU) 2019/1937 and Regulation (EU) 2023/2859. Accessed: May 5, 2025. [Online]. Available: https://eurlex.europa.eu/eli/dir/2024/1760/oj/eng"
